strain_name,breeder,description,current_price_gbp,original_price_gbp,discount_percent,pack_options,product_url,image_url,overview,growth_and_harvest,experience,seed_type,flowering_period_type,indica_sativa,type_ratio,strain_type_summary,environment,strength,medical_strains,smell_taste,effect,climate,flavor,thc,cbd,yield_indoor,yield_outdoor,height_indoor,height_outdoor,indoor_height_detail,indoor_flowering_time,outdoor_harvest_time,flowering_time,harvest_month,genetic_background,stock_availability,sale_item,most_popular_seeds
Girl Scout Cookies,Blackskull Seeds,"Potent strain with THC up to 28%. Indica dominant hybrid for euphoric high, body effects, anxiety, depression, and appetite. Easy to grow with dense buds.",14.2,,,3 Feminised Seeds (GBP 14.20) | 5 Feminised Seeds (GBP 20.80) | 10 Feminised Seeds (GBP 33.40) | 50 Feminised Seeds (GBP 158.65) | 100 Feminised Seeds (GBP 300.60),https://www.seed-city.com/blackskull-seeds/girl-scout-cookies,https://www.seed-city.com/components/com_virtuemart/show_image_in_imgtag.php?filename=resized%2FGirl_Scout_Cooki_5bf6fa26ac989_120x140.jpg&newxsize=120&newysize=140&fileout=,"Girl Scout Cookies is a highly sought-after strain recognized for its potency, with THC levels reaching up to 28%. It's an Indica dominant hybrid with a 40:60 sativa/indica ratio that delivers both a euphoric mental high and a strong physical effect. This strain stands out for its sweet and earthy flavors and is particularly effective in treating anxiety, depression, and promoting appetite. Additionally, Girl Scout Cookies is straightforward to cultivate, offering dense buds that are simple to trim, making it an ideal choice for growers.",,,Feminized,12/12 Photoperiod,50% Indica/50% Sativa,,,"Indoor, Outdoor",Super Strength,"Anxiety, Appetite Stimulant, Depression, Happy","Herbal, Musky, Spicy, Sweet","Body, Cerebral, Powerful, Relaxing",,,,,,,,,,Medium (56 to 90 days),,55 – 60 days,October,,In Stock,,Most Popular Cannabis Seeds
SALE - Platinum Mimosa Cookies Double XL Auto - Growers Choice,Cannabis Seed Sale Items,"Limited release of high-yielding strain with sweet, fruity, creamy flavors. High THC levels, mold resistant, thrives in various climates.",15.44,25.74,40.0,6 X 1 Single Feminised Seed (GBP 15.44),https://www.seed-city.com/cannabis-seed-sale-items/sale-platinum-mimosa-cookies-double-xl-auto-growers-choice,https://www.seed-city.com/components/com_virtuemart/show_image_in_imgtag.php?filename=resized%2FPlatinum_Mimosa__65b948cf8ec3b_120x140.png&newxsize=120&newysize=140&fileout=,"Introducing the rare Platinum Mimosa Cookies, a hybrid from Platinum Cookies and Mimosa, belonging to the double XL autoflowerings due to their significant height of 100 to 130 cm, making them ideal for high yields. Average yields range from 80 to 150 grams per plant. The strain boasts sweet, fruity, and creamy flavors with a citrus and lemon undertone, and notably high THC levels, averaging above 25%. It features three phenotypes with variations in bud color but doesn't produce distinctly pink or purple weed.",,,Feminized,Autoflowering,,,,"Indoor, Outdoor",Super Strength,,"Citrus, Dairy, Fruity, Lemon, Sweet",,Can take warm and cold climates,,27-30%,Medium,750+ grams/ m2,,,between 100 and 130 cm,Medium (81cm - 140cm),Medium (56 to 90 days),,,,,In Stock,Cannabis Seeds Currently on Sale,
Critical Kush,Barneys Farm Seeds,"Potent Indica with high yields, sticky buds, powerful stone. Ideal for relaxation, pain relief, late night smoking. Flowers in 8 weeks.",27.2,,,3 Feminised Seeds (GBP 27.20) | 5 Feminised Seeds (GBP 38.80) | 10 Feminised Seeds (GBP 67.20) | 50 Feminised Seeds (GBP 319.20) | 100 Feminised Seeds (GBP 604.81),https://www.seed-city.com/barneys-farm-seeds/critical-kush,https://www.seed-city.com/components/com_virtuemart/show_image_in_imgtag.php?filename=resized%2FCritical_Kush_5c0f2866ea6c2_120x140.jpg&newxsize=120&newysize=140&fileout=,"Critical Kush, a strength-packed Indica strain from the cross of Critical Mass and OG Kush by Barneys Farm, flourishes quickly, yielding vast amounts of potent Kush featuring sticky, crystal-laden buds, a deeply aromatic scent, and a powerful, relaxing effect. This 100% Indica strain is celebrated for its relaxing, pain-relieving qualities and is perfect for evening use. Expect harvestable flowers within 8 weeks from this medium-sized plant.
To maximize seed longevity, store Critical Kush seeds in a cool, dark, airtight container in the fridge, labeled and dated, steering clear of freezing.",,,Feminized,12/12 Photoperiod,Indica,Feminised,,"Indoor, Outdoor, Greenhouse",Super Strength,"General Pain, Insomnia, Relaxing","Citrus, Earthy, Fuel, Herbal, Lemon, Sweet, Tangy","Stimulating, Calming, Relaxing",,,,,,,,,Medium (81cm - 140cm),Medium (56 to 90 days),The End of September,,,,In Stock,,Most Popular Cannabis Seeds
Blue Dream,Garden of Green,"Popular strain with 18% THC, low CBD, and berry aroma. Garden of Green emphasizes therapeutic qualities.",71.4,,,10 Feminised Seeds (GBP 71.40),https://www.seed-city.com/garden-of-green/blue-dream,https://www.seed-city.com/components/com_virtuemart/show_image_in_imgtag.php?filename=resized%2FBlue_Dream_5b05beac11205_120x140.jpg&newxsize=120&newysize=140&fileout=,"Blue Dream, a sativa-dominant hybrid crossing Blueberry with Haze, is high in demand among cannabis seed collectors for its exceptional genetics. It features 18% THC content, low CBD, and emits a tempting berry scent. Not only is Blue Dream sought after for its pleasurable aroma and flavor, but it's also valued for its therapeutic benefits, offering relief from conditions like nausea, anxiety, depression, and pain disorders. Seed City is a prime source for these seeds, showcasing Garden of Green's collection, a brand known for optimizing THC and CBD levels for maximum therapeutic effect.",,,Feminized,12/12 Photoperiod,Sativa Dominant,,,"Indoor, Outdoor",Super Strength,"Cerebral, Menstrual Pain","Fruity, Lemon, Piney, Vanilla","Cerebral, Energetic, Long-lasting",,,,,,,,,,Medium (56 to 90 days),,65 - 70 days,,,In Stock,,Most Popular Cannabis Seeds
HulkBerry,Royal Queen Seeds,"Potent strain created from OG Kush and Strawberry Diesel. Clear, uplifting high with fruity and fuel flavors.",25.8,,,3 Feminised Seeds (GBP 25.80) | 5 Feminised Seeds (GBP 39.20) | 10 Feminised Seeds (GBP 71.40) | 50 Feminised Seeds (GBP 339.15) | 100 Feminised Seeds (GBP 642.60),https://www.seed-city.com/royal-queen-seeds/hulkberry,https://www.seed-city.com/components/com_virtuemart/show_image_in_imgtag.php?filename=resized%2FHulkBerry_646272964139a_120x140.jpg&newxsize=120&newysize=140&fileout=,"HulkBerry, resulting from a fusion between OG Kush and Strawberry Diesel, has emerged as a formidable player in the cannabis world, rebelling against the couchlocking dominance of Kush varieties. It boasts a robust THC content that has reached up to 28%, previously an exclusive offering in Colorado dispensaries but now available as feminized seeds worldwide. Renowned for its sativa-dominance, particularly the Bruce Banner #3 phenotype, HulkBerry combines chunky, resinous Kush nugs with sweet, fruity flavors. This strain also presents growers with potential phenotypic variations, urging consideration for multiple mother plants due to their desirable traits.","The strain flourishes under a standard 12-12 light regime, maturing in 9–10 weeks with significant colas expansion reminiscent of OG Kush but surprises with fruity aromas. HulkBerry excels in both SOG and ScrOG setups, promising bountiful yields that can impress even seasoned Kush cultivators.","Upon combustion, HulkBerry delivers a profound effect; a rapid ascent initiated by its earthy-fuel flavor profile shifts to a sustained cerebral journey. Veterans may channel this potent high into creative pursuits, whereas others relish in its prolonged, blissful euphoria.",Feminized,12/12 Photoperiod,"Sativa Dominant , 50% Indica/50% Sativa",Sativa 65% Indica 35%,Feminized,"Indoor, Outdoor",Super Strength,"Cerebral, Happy","Citrus, Fuel, Lemon, Lime, Sweet","Clear, Uplifting",Short Summers,"Citrus, Diesel, Herbal, Pepper",27%,Low,400 - 450 gr/m2,650 - 700 gr/plant,80 - 140 cm,160 - 200 cm,Medium (81cm - 140cm),Medium (56 to 90 days),The End of September,9 - 11 weeks,Late September,OG Kush x Strawberry Diesel,In Stock,,Most Popular Cannabis Seeds
Mimosa EVO,Barneys Farm Seeds,Sativa dominant strain with tropical lemon and citrus flavors. High-quality seeds with discreet shipping and educational resources.,27.2,,,3 Feminised Seeds (GBP 27.20) | 5 Feminised Seeds (GBP 38.80) | 10 Feminised Seeds (GBP 67.20) | 50 Feminised Seeds (GBP 319.20) | 100 Feminised Seeds (GBP 604.81),https://www.seed-city.com/barneys-farm-seeds/mimosa-evo,https://www.seed-city.com/components/com_virtuemart/show_image_in_imgtag.php?filename=resized%2FMimosa_5e725356b2987_120x140.jpg&newxsize=120&newysize=140&fileout=,,,,Feminized,12/12 Photoperiod,Sativa Dominant,,,"Indoor, Outdoor",Super Strength,"Focused, Happy, Motivational, Uplifting","Berry, Citrus, Fruity, Lemon, Orange",,,,,,,,,,Medium (81cm - 140cm),Medium (56 to 90 days),,,,,In Stock,,Most Popular Cannabis Seeds
Blue Dream Auto,Cali Weed Seeds,"High THC, medium CBD. Short plant, dense nugs. Fast rooting, reliable for cloning. Purple potential with temp difference.",50.0,,,5 Feminised Seeds (GBP 50.00) | 25 Feminised Seeds (GBP 237.50) | 50 Feminised Seeds (GBP 450.00),https://www.seed-city.com/cali-weed-seeds/blue-dream-auto,https://www.seed-city.com/components/com_virtuemart/show_image_in_imgtag.php?filename=resized%2FBlue_Dream_Auto_607dc4b8ccfe6_120x140.jpg&newxsize=120&newysize=140&fileout=,,,,Feminized,12/12 Photoperiod,Sativa Dominant,,,"Indoor, Outdoor, Greenhouse",Normal,,,,,,,,,,,,,Medium (56 to 90 days),,7-8 WEEKS,,,In Stock,,Most Popular Cannabis Seeds
Blackberry,FastBuds,"Flavorful, potent strain with relaxing effects. Compact plant with high resin production, suitable for indoor cultivation.",26.8,,,3 Feminised Seeds (GBP 26.80) | 5 Feminised Seeds (GBP 40.20) | 10 Feminised Seeds (GBP 71.40) | 50 Feminised Seeds (GBP 339.15) | 100 Feminised Seeds (GBP 642.60),https://www.seed-city.com/fastbuds/blackberry,https://www.seed-city.com/components/com_virtuemart/show_image_in_imgtag.php?filename=resized%2FBlackberry_5c068f7884ea5_120x140.jpg&newxsize=120&newysize=140&fileout=,"Blackberry, designed for those who savor the flavor in marijuana, offers a complex palette of spicy, sweet, and fruity notes, with underlying tones of wild berries and pine - a memorable explosion of taste. This strain is a blend of Blackberry and Purple Kush with Pakistani roots, enhanced by minor contributions from Sativa and Canadian ruderalis, culminating in a delightful aromatic profile of sweet berries accented with butter tones.",,,Feminized,Autoflowering,Indica Dominant,,,"Indoor, Outdoor",Super Strength,"Anxiety, General Pain, Insomnia, Spasm Relief, Stress Relief","Berry, Fruity, Spicy, Sweet",,,,Very high,"0,8%",,,,,Medium (81cm - 140cm),Medium (56 to 90 days),,,,,In Stock,,Most Popular Cannabis Seeds
Lemon Orange,Green House Seeds,"Balanced effects with citrus and earthy flavors. High THC levels. Ideal for citrus lovers. Vigorous plant structure with compact, frosty flowers.",35.8,,,3 Feminised Seeds (GBP 35.80) | 5 Feminised Seeds (GBP 49.20) | 10 Feminised Seeds (GBP 80.40) | 50 Feminised Seeds (GBP 381.90) | 100 Feminised Seeds (GBP 723.60),https://www.seed-city.com/green-house-seeds/lemon-orange,https://www.seed-city.com/components/com_virtuemart/show_image_in_imgtag.php?filename=resized%2FLemon_Orange_627926d60b5ba_120x140.jpg&newxsize=120&newysize=140&fileout=,,,,Feminized,12/12 Photoperiod,Sativa Dominant,,,"Indoor, Outdoor",Super Strength,"Body Stone, Cerebral, Euphoric","Citrus, Lemon, Orange",,,,29.50% CBD : 0.201% CBN : 0.36%,,,,,,,Medium (56 to 90 days),The End of September,,,,In Stock,,Most Popular Cannabis Seeds
Runtz x Layer Cake,Barneys Farm Seeds,"Potent strain with high THC levels. Large colorful buds with sweet aroma. Sold by Seed City with fast, discreet shipping.",27.2,,,3 Feminised Seeds (GBP 27.20) | 5 Feminised Seeds (GBP 38.80) | 10 Feminised Seeds (GBP 67.20) | 50 Feminised Seeds (GBP 319.20) | 100 Feminised Seeds (GBP 604.81),https://www.seed-city.com/barneys-farm-seeds/runtz-x-layer-cake,https://www.seed-city.com/components/com_virtuemart/show_image_in_imgtag.php?filename=resized%2FRuntz_x_Layer_Ca_628cd82c97203_120x140.jpg&newxsize=120&newysize=140&fileout=,"Runtz x Layer Cake is a hybrid cannabis strain from Barney's Farm Seeds, blending Runtz and Layer Cake for a high THC content often exceeding 20%. It features large, colorful buds with sweet, fruity aromas. Barney's Farm, an American company known for quality genetics, offers a wide range of cannabis seeds. Seed City is a leading online seed bank with over 7,000 cannabis seed varieties from top breeders, offering quality seeds with discreet shipping.",,,Feminized,12/12 Photoperiod,50% Indica/50% Sativa,Feminised,,"Indoor, Outdoor",Super Strength,,"Citrus, Earthy, Fruity, Fuel, Herbal, Spicy, Sweet","Creativity , Strong Body High , Uplifting , Relaxing",,,,,,,,,Medium (81cm - 140cm),Medium (56 to 90 days),Middle of October,,,,In Stock,,Most Popular Cannabis Seeds
White Widow,Nirvana Seeds,"High THC resin production. Sativa-dominant hybrid with energizing, social buzz. Indoor cultivation, medium height, 8-10 week flowering period.",14.8,,,3 Feminised Seeds (GBP 14.80) | 5 Feminised Seeds (GBP 22.40) | 10 Feminised Seeds (GBP 40.20) | 50 Feminised Seeds (GBP 190.95) | 100 Feminised Seeds (GBP 361.80) | 10 Regular Seeds (GBP 22.40) | 50 Regular Seeds (GBP 106.40) | 100 Regular Seeds (GBP 201.60),https://www.seed-city.com/nirvana-seeds/white-widow,https://www.seed-city.com/components/com_virtuemart/show_image_in_imgtag.php?filename=resized%2FWhite_Widow_56cc9ac91909b_120x140.jpg&newxsize=120&newysize=140&fileout=,,,,"Regular , Feminized",12/12 Photoperiod,50% Indica/50% Sativa,,,Indoor,Normal,"Depression, General Pain, Happy, Relaxing, Social, Stress Relief","Earthy, Woodsy",Happy Uplifted Relaxed,,Earthy Woody Pungent,High,Medium,,,,,,Medium (56 to 90 days),,,,,In Stock,,Most Popular Cannabis Seeds
Cookies Gelato,Royal Queen Seeds,"Potent strain with sweet taste, 28% THC, balanced high, citrus, earthy, fruity, mint flavors.",27.2,,,3 Feminised Seeds (GBP 27.20) | 5 Feminised Seeds (GBP 41.60) | 10 Feminised Seeds (GBP 75.80) | 50 Feminised Seeds (GBP 360.05) | 100 Feminised Seeds (GBP 682.20),https://www.seed-city.com/royal-queen-seeds/cookies-gelato,https://www.seed-city.com/components/com_virtuemart/show_image_in_imgtag.php?filename=resized%2FCookies_Gelato_646267b46f57a_120x140.jpg&newxsize=120&newysize=140&fileout=,,,,Feminized,12/12 Photoperiod,50% Indica/50% Sativa,Sativa 50% Indica 50%,Feminized,"Indoor, Outdoor",Super Strength,"Body Stone, Cerebral, Euphoric, Psychedelic, Relaxing","Citrus, Earthy","Balanced, Calming, Physically Relaxing",Short Summers,"Citrus, Earthy, Fruity, Mint",28%,Low,550 - 600 gr/m2,600 - 650 gr/plant,90 - 130 cm,140 - 180 cm,Tall (140cm plus),Medium (56 to 90 days),Middle of October,8 - 9 weeks,Middle of October,Girl Scout Cookie X Gelato 33,In Stock,,Most Popular Cannabis Seeds
Acapulco Gold,Barneys Farm Seeds,"Sativa-dominant strain with fruity flavors, long-lasting effects, balanced high, and pleasant aroma.",23.4,,,3 Feminised Seeds (GBP 23.40) | 5 Feminised Seeds (GBP 33.20) | 10 Feminised Seeds (GBP 57.60) | 50 Feminised Seeds (GBP 273.61) | 100 Feminised Seeds (GBP 518.40),https://www.seed-city.com/barneys-farm-seeds/acapulco-gold,https://www.seed-city.com/components/com_virtuemart/show_image_in_imgtag.php?filename=resized%2FAcapulco_Gold_5c0f25eca0c28_120x140.jpg&newxsize=120&newysize=140&fileout=,,,,Feminized,12/12 Photoperiod,Sativa Dominant,Feminised,,"Indoor, Outdoor",Super Strength,"Happy, Relaxing, Stress Relief","Citrus, Coffee, Dairy, Earthy, Piney, Sweet, Woodsy","Cerebral, aroused, energizing, creative, euphoria, happy","Cool, Hot & Temperate",,,,,,,,Medium (81cm - 140cm),Medium (56 to 90 days),Middle of October,,,,In Stock,,Most Popular Cannabis Seeds
AK48 Automatic,Sagarmatha Seeds,"Potent strain with high THC levels, fast flowering time, and compact growth. Ideal for beginners with short life cycle and high density yields.",9.12,,,1 Single Feminised Seed (GBP 9.12) | 5 Feminised Seeds (GBP 38.00) | 25 Feminised Seeds (GBP 180.50) | 50 Feminised Seeds (GBP 342.00),https://www.seed-city.com/sagarmatha-seeds/ak48-automatic,https://www.seed-city.com/components/com_virtuemart/show_image_in_imgtag.php?filename=resized%2FAK48_Automatic_51ae834aca0c3_120x140.gif&newxsize=120&newysize=140&fileout=,"AK-48, the most potent autoflowering variant with the highest THC level, combines the renowned AK-47 and Lowryder, leading to rapid flowering. Although yielding less than the original strains, its fast ripening and ease for beginners make it standout. Known for leading in THC production for years, AK-48 continues this legacy. It's characterized by tight, crystal-covered tops and an ideal growth pattern for high-density planting, making it the top choice in autoflowering cannabis now and likely in the future.",,,Feminized,Autoflowering,,,,"Indoor, Outdoor",Normal,,,,,,,,,,,,Short (up to 80cm),Medium (56 to 90 days),,,,,In Stock,,Most Popular Cannabis Seeds
Purple,Pyramid Seeds,"Berry-flavored photoperiod with compact, violet appearance. 50% Sativa / 50% Indica. Indoor yield +450g/m2, 60 days flowering. Outdoor yield 0.5-1 kg/plant.",14.6,,,3 Feminised Seeds (GBP 14.60) | 5 Feminised Seeds (GBP 24.40) | 25 Feminised Seeds (GBP 115.90) | 50 Feminised Seeds (GBP 219.60),https://www.seed-city.com/pyramid-seeds/purple,https://www.seed-city.com/components/com_virtuemart/show_image_in_imgtag.php?filename=resized%2FPurple_590a2392ca011_120x140.jpg&newxsize=120&newysize=140&fileout=,"Photoperiod phenotype of the Purple variety showcases a pronounced berry flavor and ripe fruit aroma, featuring a compact, visually striking violet appearance. Despite its dense crystal coverage, which becomes more apparent towards the end of flowering, its beauty shines through. Grows to a medium height with long, thin, compact flowers, balancing 50% Sativa and 50% Indica genetics.",,,Feminized,12/12 Photoperiod,50% Indica/50% Sativa,,,"Indoor, Outdoor",Normal,,"Berry, Fruity",,,,,,,,,,Medium (81cm - 140cm),Medium (56 to 90 days),Middle of September,,,,In Stock,,Most Popular Cannabis Seeds
